template_id,query_id,predicted_action,actual_best_action,predicted_action_reward,actual_best_reward,regret,is_correct
control_ch_order_gaps,988dfd94a1a94db0318bcb0ec6f4c3af6c41f6848713321ed726c4e8c0a696cf,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_c_id""], ""include_columns"": [""o_id"", ""o_entry_d""]}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""customer"", ""key_columns"": [""c_id""], ""include_columns"": []}",-0.05403158587409514,0.09104318953341434,0.14507477540750946,False
control_ch_product_pareto,45264bd54cc482fb18aa165daf3c6b1bf4aa10fecb9e343692cd9f4f9f0ba2af,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_c_id"", ""o_w_id"", ""o_d_id""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""order_line"", ""key_columns"": [""ol_d_id""], ""include_columns"": [""ol_i_id"", ""ol_amount""]}",-0.028006200006847913,0.17027751501090346,0.19828371501775138,False
control_ch_customer_rfm,995967f8411096ea45ea7921a4941cf62e2700752d5804c104b984c9bb62964d,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}",0.0,0.0,0.0,True
control_ch_warehouse_reconciliation,d5371a6c5b1f1ed2217bc6f1593d64bdb1b4829384f44581744be3538e1270e7,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}",0.0,0.0,0.0,True
control_ch_district_anomaly,7dbf884516441e4ebaa95cf9742ab04abaecb41dac4349b3db6d61dd83c70e6f,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_entry_d""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_entry_d""], ""include_columns"": []}",0.15996256938390713,0.15996256938390713,0.0,True
control_ch_demand_volatility,22b9c6be9549d9a772bad1a9fa64541a99e32b0229d30b8b8e2ef9d4adbb1244,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_id""], ""include_columns"": [""o_entry_d""]}",0.0,0.014705514477524342,0.014705514477524342,False
control_ch_supplier_concentration,f6256235a56d9e4067d0032102724f69dbd67c3cc43ce61484e453f6615c0d2f,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""order_line"", ""key_columns"": [""ol_i_id""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""order_line"", ""key_columns"": [""ol_i_id""], ""include_columns"": []}",0.05058370644257039,0.05058370644257039,0.0,True
control_ch_cohort_retention,7dbb99841040031b1a902f13ef8835c2f91bca426901ae193341cf42ec87ebc0,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_w_id""], ""include_columns"": [""o_c_id"", ""o_d_id"", ""o_entry_d""]}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_w_id""], ""include_columns"": [""o_c_id"", ""o_d_id"", ""o_entry_d""]}",0.05782953736004815,0.05782953736004815,0.0,True
control_ch_basket_affinity,50c9ffd8a3e7f75cbef5bb92f696470b8e59742326a0fa42662b43acf3ff1e15,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""order_line"", ""key_columns"": [""ol_d_id""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""order_line"", ""key_columns"": [""ol_o_id""], ""include_columns"": []}",-0.02919142087683689,0.011290698050373553,0.040482118927210445,False
control_ch_stockout_risk,e3b9f2ffdce00d6cdc80e98129088ce12895804cfa6800e5d02c108092bd419b,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""stock"", ""key_columns"": [""s_w_id"", ""s_quantity"", ""s_i_id""], ""include_columns"": []}",0.0,0.023085349439832932,0.023085349439832932,False
control_ch_district_anomaly,a0dc0c2bbfd93ee49aa3454f8971cdaee416ad5c8bc0849b86dc854bdcb3dee6,"{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_entry_d""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""chbenchmark"", ""table_name"": ""oorder"", ""key_columns"": [""o_entry_d""], ""include_columns"": []}",0.1936102088101475,0.1936102088101475,0.0,True
