template_id,query_id,predicted_action,actual_best_action,predicted_action_reward,actual_best_reward,regret,is_correct
prod_network_two_hop,56353a8acb246a9c10db04747d9fc496e691281d1bea727f738adc19c0ed6756,"{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""flights"", ""key_columns"": [""arrival_airport"", ""departure_airport""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""flights"", ""key_columns"": [""departure_airport""], ""include_columns"": [""arrival_airport""]}",0.24721426410734512,0.3848875639291502,0.13767329982180507,False
prod_seat_heatmap,bdfb4378678ccef74ecb1164fcea547c0d03e6e64d386f1fbed09bb9f914fc07,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""flights"", ""key_columns"": [""aircraft_code""], ""include_columns"": [""flight_id""]}",0.0,0.016560949525012948,0.016560949525012948,False
prod_passenger_no_show_streak,2b919d918c5d3d1824d273deedb2dcb58e7e132419ade5ebbdc5e39d32304a92,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}",0.0,0.0,0.0,True
prod_booking_funnel,352b365123cc3359a2660890d16fb4425eec8f574e987b1a52e9316d99a5eaa9,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""tickets"", ""key_columns"": [""ticket_no""], ""include_columns"": []}",0.0,0.1651660394018851,0.1651660394018851,False
prod_passenger_itinerary_gaps,b95edce3448f690ae26dfc69de5a82908f6cc4369498ca6270729f108f989988,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""ticket_flights"", ""key_columns"": [""ticket_no"", ""flight_id""], ""include_columns"": []}",0.0,0.013934444438673695,0.013934444438673695,False
prod_airport_hourly_pressure,1cde96bf4a4879d819bff38868901d02babd043111fa3a63902453c3696df579,"{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""flights"", ""key_columns"": [""departure_airport""], ""include_columns"": [""scheduled_departure""]}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""flights"", ""key_columns"": [""scheduled_departure""], ""include_columns"": []}",0.8182147431336273,0.848828357443316,0.030613614309688675,False
prod_unsold_business_inventory,f389f9148deafa954b412bd23b0475c4608493e729ba6ab681999a68b75a4ae1,"{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""seats"", ""key_columns"": [""fare_conditions""], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""seats"", ""key_columns"": [""aircraft_code"", ""fare_conditions"", ""seat_no""], ""include_columns"": []}",0.06737634327371625,0.1087742167560252,0.041397873482308944,False
prod_multi_segment_bookings,214fca47ec62a1c6b7f5c5259fc33a06cc06b0b306f8406bdc3e13bd98c1e7a6,"{""kind"": ""noop"", ""schema_name"": null, ""table_name"": null, ""key_columns"": [], ""include_columns"": []}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""tickets"", ""key_columns"": [""book_ref""], ""include_columns"": []}",0.0,0.007178665258653951,0.007178665258653951,False
prod_tickets_without_boarding,b80c23620f850d6c5fdf5f94eecbdf7ced6589c12c17c930404719bc4f1f6283,"{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""ticket_flights"", ""key_columns"": [""fare_conditions""], ""include_columns"": [""ticket_no""]}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""ticket_flights"", ""key_columns"": [""fare_conditions""], ""include_columns"": []}",0.059309084171292895,0.11205949965459464,0.05275041548330174,False
prod_booking_reconciliation,787a135a62624a7a0442be10370e348a4d307ce9855353cf1e5d70c42769a171,"{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""ticket_flights"", ""key_columns"": [""ticket_no""], ""include_columns"": [""amount""]}","{""kind"": ""create"", ""schema_name"": ""aviation"", ""table_name"": ""bookings"", ""key_columns"": [""book_ref""], ""include_columns"": [""total_amount""]}",-0.11197770887291596,0.031885353732435576,0.14386306260535153,False
